MateriaCodigo,MateriaNombre,Creditos,Semestre,Periodo,Grupo,Modalidad,Sede,Docente,Aula,Dia,HoraInicio,HoraFin
SS603,PROGRAMACION MOVIL,3,6,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,RONALD ALEXANDER VACCA ASCANIO,302-INFORMATICA,MIERCOLES,14:00,15:59
SS701,REDES Y COMUNICACIONES,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,WILLIAM ENRIQUE CASTRO CABARCAS,404-SALA INTERNET,LUNES,08:00,09:59
SS701,REDES Y COMUNICACIONES,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,WILLIAM ENRIQUE CASTRO CABARCAS,404-SALA INTERNET,MIERCOLES,08:00,09:59
SS702,INTELIGENCIA ARTIFICIAL,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,TONNY ENRIQUE JIMENEZ MARQUEZ,303-INFORMATICA,LUNES,14:00,15:59
SS702,INTELIGENCIA ARTIFICIAL,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,TONNY ENRIQUE JIMENEZ MARQUEZ,303-INFORMATICA,MIERCOLES,14:00,15:59
SS706,INGENIERIA DE SOFTWARE III,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,JUAN ANDRES YANETH RINCON,402-SALA INTERNET,MIERCOLES,10:00,11:59
SS706,INGENIERIA DE SOFTWARE III,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,JUAN ANDRES YANETH RINCON,402-SALA INTERNET,VIERNES,10:00,11:59
SS707,TECNOLOGIAS INMERSIVAS,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,LUIS ALFREDO PEREZ PEREZ,LAB TECH I,MARTES,08:00,09:59
SS707,TECNOLOGIAS INMERSIVAS,3,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,LUIS ALFREDO PEREZ PEREZ,LAB TECH I,JUEVES,08:00,09:59
SS708,RESEARCH PROJECT,2,7,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,NELSON ANIBAL FELIZZOLA DELGADO,LAB TECH II,MARTES,18:00,19:59
SS802,BASE DE DATOS AVANZADAS,3,8,2026-2,01-VIRTUAL,VIRTUAL,CAMPUS,NDOC,NREF,LUNES,06:00,07:59
SS802,BASE DE DATOS AVANZADAS,3,8,2026-2,01-VIRTUAL,VIRTUAL,CAMPUS,NDOC,NREF,MIERCOLES,06:00,07:59
SS806,SEGURIDAD DE LA INFORMACION,3,8,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,NDOC,NREF,LUNES,18:00,19:59
SS806,SEGURIDAD DE LA INFORMACION,3,8,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,NDOC,NREF,MIERCOLES,18:00,19:59
SS811,ETICA PROFESIONAL,2,8,2026-2,01-VIRTUAL,VIRTUAL,CAMPUS,NDOC,NREF,MIERCOLES,12:00,13:59
SS812,PROYECTO DE GRADO I,3,8,2026-2,01-CAMPUS,PRESENCIAL,CAMPUS,NDOC,NREF,VIERNES,06:00,07:59
